City,Cloudiness,Country,Date,Humidity,Lat,Lon,MaxTemp,WindSpeed
Punta Arenas,20.0,CL,1553749946.0,100.0,-53.16,-70.91,1.0,2.1
porto santo,,,,,,,,
illoqqortoormiut,,,,,,,,
New Norfolk,0.0,AU,1553750239.0,28.0,-42.78,147.06,24.44,5.7
Waipawa,64.0,NZ,1553750537.0,74.0,-39.94,176.59,15.56,0.89
Cape Town,75.0,ZA,1553750590.0,93.0,-33.93,18.42,17.22,1.5
Cabo San Lucas,40.0,MX,1553750442.0,98.0,22.89,-109.91,22.0,2.6
Umea,0.0,SE,1553748600.0,74.0,63.83,20.26,2.0,2.6
umzimvubu,,,,,,,,
Anloga,20.0,GH,1553745600.0,88.0,5.79,0.9,28.0,3.6
vaitupu,,,,,,,,
Arraial do Cabo,88.0,BR,1553750731.0,93.0,-22.97,-42.02,25.32,3.51
cheuskiny,,,,,,,,
Narsaq,20.0,GL,1553748600.0,44.0,60.91,-46.05,-8.0,2.1
Hasaki,75.0,JP,1553750675.0,54.0,35.73,140.83,14.0,5.1
Isangel,40.0,VU,1553749200.0,66.0,-19.55,169.27,30.0,6.2
Tasiilaq,32.0,GL,1553748600.0,57.0,65.61,-37.64,-7.0,6.7
Muromtsevo,0.0,RU,1553750733.0,98.0,56.37,75.24,1.77,2.06
Carnarvon,0.0,ZA,1553750733.0,43.0,-30.97,22.13,12.57,1.31
Yellowknife,90.0,CA,1553750314.0,85.0,62.45,-114.38,-5.0,3.6
Srednekolymsk,0.0,RU,1553750734.0,49.0,67.46,153.71,-12.74,1.56
San Cristobal,75.0,EC,1553750180.0,93.0,-0.39,-78.55,15.0,2.1
Albany,40.0,US,1553750464.0,37.0,42.65,-73.75,3.0,7.7
Kanniyakumari,0.0,IN,1553750500.0,100.0,8.08,77.57,29.07,2.71
Hermanus,36.0,ZA,1553750194.0,95.0,-34.42,19.24,16.67,1.61
Jamestown,20.0,AU,1553750666.0,66.0,-33.21,138.6,21.82,2.51
Kapaa,20.0,US,1553750594.0,78.0,22.08,-159.32,24.0,2.96
Thompson,40.0,CA,1553745600.0,72.0,55.74,-97.86,-10.0,4.1
Datong,88.0,CN,1553750736.0,62.0,40.09,113.3,3.17,2.71
belushya guba,,,,,,,,
Burnie,0.0,AU,1553750644.0,71.0,-41.05,145.91,21.67,4.92
Pevek,88.0,RU,1553750737.0,82.0,69.7,170.27,-13.59,8.21
Berezovka,68.0,RU,1553750737.0,87.0,57.6,57.31,3.42,2.76
Lebu,92.0,ET,1553750737.0,73.0,8.96,38.73,16.07,1.51
Cherskiy,32.0,RU,1553750738.0,58.0,68.75,161.3,-16.59,2.91
Busselton,8.0,AU,1553750721.0,28.0,-33.64,115.35,22.78,8.36
Puerto Ayora,0.0,EC,1553747470.0,91.0,-0.74,-90.35,24.44,3.36
Atuona,0.0,PF,1553750739.0,100.0,-9.8,-139.03,28.17,6.26
Pyu,8.0,MM,1553750739.0,44.0,18.48,96.43,32.77,1.41
Torbay,5.0,CA,1553750562.0,72.0,47.66,-52.73,-9.44,2.6
Bluff,100.0,AU,1553750739.0,98.0,-23.58,149.07,21.97,5.41
Samarai,8.0,PG,1553750740.0,99.0,-10.62,150.67,28.97,5.21
Lingyuan,80.0,CN,1553750709.0,62.0,41.24,119.4,3.92,2.36
Chapais,90.0,CA,1553745600.0,47.0,49.78,-74.86,2.0,8.2
Pangnirtung,20.0,CA,1553750743.0,58.0,66.15,-65.72,-21.59,1.76
taolanaro,,,,,,,,
Vuktyl,80.0,RU,1553750744.0,84.0,63.86,57.31,0.32,2.81
Pisco,0.0,PE,1553749200.0,78.0,-13.71,-76.2,23.0,2.6
Ushuaia,0.0,AR,1553749200.0,56.0,-54.81,-68.31,7.0,3.6
Cockburn Town,92.0,TC,1553750744.0,100.0,21.46,-71.14,24.37,3.31
Lompoc,40.0,US,1553750667.0,93.0,34.64,-120.46,15.0,2.21
Kahului,20.0,US,1553750622.0,60.0,20.89,-156.47,24.0,2.1
Kawalu,24.0,ID,1553750727.0,95.0,-7.38,108.21,23.87,1.26
Puerto Suarez,0.0,BO,1553750745.0,63.0,-18.96,-57.8,24.72,3.26
San Quintin,0.0,PH,1553750746.0,43.0,17.54,120.52,30.97,3.21
Mataura,0.0,NZ,1553750406.0,68.0,-46.19,168.86,16.11,1.66
Saint-Philippe,90.0,CA,1553750669.0,75.0,45.36,-73.48,1.67,3.1
Hannoversch Munden,75.0,DE,1553750663.0,87.0,51.42,9.65,7.78,0.5
Wuwei,0.0,CN,1553750747.0,51.0,37.93,102.64,7.82,2.06
sentyabrskiy,,,,,,,,
Vaini,0.0,IN,1553745600.0,65.0,15.34,74.49,27.0,1.5
Airai,92.0,TL,1553750747.0,80.0,-8.93,125.41,25.07,0.96
Nanakuli,1.0,US,1553750590.0,73.0,21.39,-158.15,25.0,2.6
Tortoli,20.0,IT,1553750394.0,66.0,39.93,9.66,12.0,14.4
Cayenne,75.0,GF,1553749200.0,88.0,4.94,-52.33,25.0,0.5
Hilo,40.0,US,1553750612.0,78.0,19.71,-155.08,22.78,2.6
Geraldton,90.0,CA,1553749200.0,93.0,49.72,-86.95,3.0,5.1
Ilulissat,68.0,GL,1553748600.0,71.0,69.22,-51.1,-14.0,7.7
Qaanaaq,44.0,GL,1553750749.0,82.0,77.48,-69.36,-23.24,3.76
Sabang,88.0,PH,1553750749.0,83.0,13.72,123.58,27.62,3.66
attawapiskat,,,,,,,,
Kieta,36.0,PG,1553750750.0,92.0,-6.22,155.63,27.97,1.81
ruatoria,,,,,,,,
Rikitea,68.0,PF,1553750648.0,100.0,-23.12,-134.97,24.57,2.81
Belmonte,0.0,PT,1553750108.0,48.0,40.36,-7.35,7.22,2.24
Chara,90.0,GR,1553750604.0,76.0,39.42,22.43,13.0,3.6
Avarua,48.0,CK,1553749200.0,83.0,-21.21,-159.78,27.0,2.1
Puntarenas,0.0,CR,1553749200.0,56.0,9.98,-84.84,21.0,9.3
Jefferson City,90.0,US,1553750539.0,38.0,38.58,-92.17,16.11,4.6
Dikson,76.0,RU,1553750752.0,100.0,73.51,80.55,-4.24,16.06
Iquitos,75.0,PE,1553749200.0,94.0,-3.75,-73.25,25.0,1.5
kazalinsk,,,,,,,,
Kununurra,0.0,AU,1553747400.0,25.0,-15.77,128.74,37.0,4.6
Abyek,0.0,IR,1553749200.0,66.0,36.04,50.53,9.0,2.1
Castro,90.0,CL,1553749200.0,100.0,-42.48,-73.76,7.0,1.5
Los Llanos de Aridane,0.0,ES,1553750704.0,72.0,28.66,-17.92,16.0,3.6
Nikolskoye,75.0,RU,1553750736.0,64.0,59.7,30.79,1.0,4.0
Broome,0.0,GB,1553750707.0,81.0,52.47,1.45,8.89,2.1
Muravlenko,0.0,RU,1553750754.0,95.0,63.79,74.5,-0.34,4.51
Abu Dhabi,40.0,AE,1553749200.0,88.0,24.47,54.37,20.0,5.1
Florianopolis,75.0,BR,1553750704.0,88.0,-27.6,-48.55,21.67,2.6
Sistranda,75.0,NO,1553750663.0,93.0,63.73,8.83,7.78,12.9
Georgetown,0.0,GY,1553745600.0,94.0,6.8,-58.16,24.0,2.1
Road Town,75.0,VG,1553750553.0,78.0,18.42,-64.62,26.0,2.6
Vigrestad,90.0,NO,1553750659.0,100.0,58.57,5.7,7.22,3.1
urumqi,,,,,,,,
Champerico,5.0,MX,1553748180.0,64.0,16.38,-93.6,23.0,6.7
Sitka,0.0,US,1553750139.0,75.0,37.17,-99.65,17.22,4.92
Quang Ngai,8.0,VN,1553750491.0,51.0,15.12,108.8,32.52,1.21
Saldanha,0.0,PT,1553750715.0,54.0,41.42,-6.55,4.17,4.31
San Policarpo,44.0,PH,1553750758.0,87.0,12.18,125.51,27.57,4.76
Padang,20.0,ID,1553745600.0,66.0,-0.92,100.36,31.0,2.1
Mount Gambier,75.0,AU,1553745600.0,38.0,-37.83,140.78,25.0,6.2
Lac du Bonnet,0.0,CA,1553750697.0,90.0,50.25,-96.06,2.78,2.68
Ust-Kuyga,8.0,RU,1553750744.0,76.0,70.0,135.55,-11.59,2.76
Port Elizabeth,1.0,US,1553750663.0,92.0,39.31,-74.98,3.89,1.46
Acari,56.0,BR,1553750760.0,95.0,-6.44,-36.64,20.92,1.61
kuche,,,,,,,,
Kupino,0.0,RU,1553750761.0,100.0,54.36,77.31,0.67,1.86
toftir,,,,,,,,
Haines Junction,0.0,CA,1553750761.0,80.0,60.75,-137.51,-6.54,0.96
Provideniya,90.0,RU,1553749200.0,100.0,64.42,-173.23,-1.0,7.0
Bondo,12.0,CD,1553750762.0,92.0,3.81,23.69,23.22,1.31
Gat,0.0,SN,1553749200.0,82.0,14.69,-16.54,19.0,6.2
Hobart,0.0,AU,1553750239.0,28.0,-42.88,147.33,24.44,5.7
Port Blair,20.0,IN,1553750585.0,99.0,11.67,92.75,29.77,3.11
Port Alfred,20.0,ZA,1553750763.0,76.0,-33.59,26.89,20.92,5.26
Zafra,0.0,ES,1553750467.0,60.0,38.43,-6.42,7.78,3.13
Maku,40.0,IR,1553748660.0,60.0,39.29,44.45,6.0,1.41
barawe,,,,,,,,
Lebanon,1.0,US,1553750717.0,92.0,43.64,-72.25,0.0,1.81
nizhneyansk,,,,,,,,
Suluq,88.0,LY,1553750764.0,41.0,31.67,20.25,18.97,3.16
Barrow,0.0,AR,1553750696.0,89.0,-38.31,-60.23,13.17,6.66
Te Anau,0.0,NZ,1553750765.0,59.0,-45.41,167.72,15.27,0.61
Requena,0.0,ES,1553750650.0,79.0,39.49,-1.1,6.67,3.1
Aborlan,75.0,PH,1553749200.0,70.0,9.44,118.55,31.0,5.1
Denpasar,40.0,ID,1553747400.0,79.0,-8.65,115.22,29.0,1.0
Nome,1.0,US,1553750708.0,87.0,30.04,-94.42,14.44,2.41
Severo-Kurilsk,92.0,RU,1553750766.0,96.0,50.68,156.12,-0.39,12.71
Kangaatsiaq,20.0,GL,1553750766.0,100.0,68.31,-53.46,-11.94,5.56
Ayagoz,44.0,KZ,1553750767.0,80.0,47.96,80.43,5.62,5.96
Sulangan,0.0,PH,1553750767.0,99.0,11.14,123.72,28.07,3.91
Alofi,12.0,NU,1553749200.0,83.0,-19.06,-169.92,28.0,1.5
Khatanga,12.0,RU,1553750652.0,88.0,71.98,102.47,-2.99,7.51
Codrington,90.0,AU,1553750576.0,65.0,-28.95,153.24,26.0,4.6
Almeirim,0.0,PT,1553750742.0,81.0,39.21,-8.63,11.67,2.1
Luderitz,0.0,NA,1553750768.0,94.0,-26.65,15.16,14.72,4.06
korla,,,,,,,,
Saint George,90.0,GR,1553750604.0,76.0,39.45,22.34,13.0,3.6
Zaranj,0.0,AF,1553749200.0,49.0,30.95,61.86,22.0,3.1
Arroyo,1.0,US,1553750728.0,34.0,41.39,-78.88,3.89,3.6
Upernavik,64.0,GL,1553750687.0,100.0,72.79,-56.15,-15.34,3.11
Okhotsk,80.0,RU,1553750737.0,72.0,59.36,143.24,-2.29,1.76
Tianmen,64.0,CN,1553750770.0,85.0,30.65,113.16,20.37,1.96
Port Lincoln,32.0,AU,1553750703.0,74.0,-34.72,135.86,22.07,6.16
olafsvik,,,,,,,,
College,1.0,US,1553750525.0,80.0,64.86,-147.8,3.0,2.21
Reconquista,24.0,AR,1553750771.0,75.0,-29.14,-59.64,19.22,5.56
tubruq,,,,,,,,
Luanda,75.0,AO,1553745600.0,88.0,-8.83,13.24,27.0,2.6
kadykchan,,,,,,,,
Kedrovyy,0.0,RU,1553749200.0,44.0,56.17,91.82,5.0,5.0
Soe,0.0,EE,1553750296.0,86.0,57.91,26.05,0.56,5.1
Clyde River,1.0,CA,1553749200.0,83.0,70.47,-68.59,-23.0,2.1
Acapulco,5.0,MX,1553748000.0,78.0,16.86,-99.88,26.0,1.5
Poum,80.0,MK,1553750776.0,59.0,41.28,20.71,1.07,0.91
Tuktoyaktuk,20.0,CA,1553745600.0,92.0,69.44,-133.03,-8.0,5.7
Nova Granada,0.0,BR,1553749200.0,78.0,-20.53,-49.32,23.0,3.6
Ribeira Grande,12.0,PT,1553750703.0,100.0,38.52,-28.7,14.27,6.01
Vila Franca do Campo,20.0,PT,1553750725.0,71.0,37.72,-25.43,13.0,4.6
Makakilo City,1.0,US,1553750590.0,69.0,21.35,-158.09,25.0,5.7
Beni Mazar,0.0,EG,1553750547.0,52.0,28.5,30.8,14.82,2.01
Baykalsk,12.0,RU,1553750729.0,36.0,51.52,104.15,0.56,2.24
Mahebourg,75.0,MU,1553750646.0,74.0,-20.41,57.7,29.0,5.7
Salalah,0.0,OM,1553748600.0,58.0,17.01,54.1,28.0,1.5
Kampene,64.0,CD,1553750778.0,96.0,-3.59,26.67,21.07,1.31
Bambous Virieux,75.0,MU,1553750646.0,74.0,-20.34,57.76,29.0,5.7
Tura,0.0,IN,1553750769.0,76.0,25.52,90.21,25.42,1.71
babanusah,,,,,,,,
Katsuura,75.0,JP,1553749470.0,51.0,33.93,134.5,17.0,5.1
Zwedru,48.0,LR,1553750779.0,93.0,6.07,-8.13,21.92,1.51
Adamas,92.0,GR,1553748600.0,71.0,36.73,24.43,14.0,4.6
Fortuna,0.0,ES,1553750754.0,52.0,38.18,-1.13,9.0,1.11
Acheng,0.0,CN,1553745600.0,19.0,45.55,126.95,3.0,4.0
Kaitangata,0.0,NZ,1553750716.0,64.0,-46.28,169.85,15.56,2.68
Toktogul,80.0,KG,1553750652.0,63.0,41.87,72.95,8.47,0.86
Voerde,75.0,DE,1553750779.0,87.0,51.6,6.68,8.89,0.5
Longyearbyen,64.0,NO,1553750781.0,80.0,78.22,15.63,-12.84,1.76
Norman Wells,90.0,CA,1553745600.0,93.0,65.28,-126.83,3.0,3.1
Tateyama,75.0,JP,1553750690.0,61.0,36.66,137.31,10.56,0.5
Wilmington,1.0,US,1553750719.0,69.0,39.75,-75.55,2.0,3.1
Bredasdorp,36.0,ZA,1553750129.0,87.0,-34.53,20.04,16.67,2.6
Rome,0.0,IT,1553750590.0,49.0,41.89,12.48,9.44,3.1
Murray Bridge,24.0,AU,1553750746.0,28.0,-35.12,139.28,28.89,2.24
Cidreira,64.0,BR,1553750783.0,75.0,-30.17,-50.22,20.67,5.26
Half Moon Bay,90.0,US,1553750780.0,82.0,37.46,-122.43,13.33,4.1
palabuhanratu,,,,,,,,
Elizabeth City,1.0,US,1553750612.0,75.0,36.3,-76.22,8.0,3.6
betioky,,,,,,,,
Quatre Cocos,75.0,MU,1553750646.0,74.0,-20.21,57.76,29.0,5.7
Cap Malheureux,75.0,MU,1553750646.0,74.0,-19.98,57.61,29.0,5.7
phan rang,,,,,,,,
Passo de Camaragibe,20.0,BR,1553749200.0,94.0,-9.24,-35.49,24.0,1.0
Victoria,75.0,BN,1553747400.0,74.0,5.28,115.24,31.0,3.6
Mar del Plata,12.0,AR,1553750575.0,71.0,-46.43,-67.52,10.47,4.46
Dekar,12.0,BW,1553750786.0,64.0,-21.53,21.93,21.32,5.31
cockburn harbour,,,,,,,,
barentsburg,,,,,,,,
Lincoln,75.0,GB,1553750701.0,80.0,53.23,-0.54,7.22,1.5
Avera,1.0,US,1553750739.0,60.0,33.19,-82.53,6.0,2.1
Kambove,8.0,CD,1553750787.0,78.0,-10.88,26.6,20.92,3.86
Kabanjahe,20.0,ID,1553749200.0,59.0,3.1,98.49,32.0,2.6
Manbij,20.0,SY,1553748600.0,100.0,36.53,37.96,6.0,0.5
Taoudenni,0.0,ML,1553750788.0,68.0,22.68,-3.98,14.97,1.26
Komsomolskiy,76.0,RU,1553750788.0,94.0,67.55,63.78,-4.44,6.61
Baijiantan,24.0,CN,1553750657.0,81.0,45.63,85.18,12.92,3.31
Metro,68.0,ID,1553750789.0,90.0,-5.11,105.31,29.07,2.41
Laguna,12.0,MX,1553750789.0,66.0,27.52,-110.01,15.47,0.86
Aquiraz,75.0,BR,1553750289.0,94.0,-3.9,-38.39,25.0,1.5
Mulchen,8.0,CL,1553750790.0,83.0,-37.72,-72.23,8.47,1.06
Chuy,8.0,UY,1553750790.0,89.0,-33.69,-53.46,15.92,4.26
Marzuq,0.0,YE,1553750790.0,43.0,14.4,46.47,23.72,1.61
Tiksi,8.0,RU,1553750790.0,68.0,71.64,128.87,-9.09,6.31
Kodiak,1.0,US,1553750650.0,63.0,39.95,-94.76,16.67,5.7
Creel,12.0,MX,1553750791.0,32.0,27.75,-107.63,9.97,2.26
Sao Joao da Barra,92.0,BR,1553750791.0,99.0,-21.64,-41.05,26.82,5.41
Havoysund,75.0,NO,1553748600.0,69.0,71.0,24.66,1.0,12.3
Richards Bay,0.0,ZA,1553750792.0,80.0,-28.77,32.06,23.32,6.21
Lata,12.0,IN,1553750792.0,68.0,30.78,78.62,16.57,0.71
Baykit,32.0,RU,1553750792.0,74.0,61.68,96.39,-0.19,1.71
Tutoia,56.0,BR,1553750793.0,97.0,-2.76,-42.27,24.77,1.86
Ugoofaaru,0.0,MV,1553750690.0,100.0,5.67,73.0,28.97,3.21
Aklavik,75.0,CA,1553749200.0,86.0,68.22,-135.01,-3.0,2.1
Beloomut,76.0,RU,1553750610.0,74.0,54.94,39.34,-1.67,3.13
Uusikaupunki,0.0,FI,1553748600.0,100.0,60.8,21.41,-3.0,2.6
Namatanai,0.0,PG,1553750692.0,92.0,-3.66,152.44,29.37,6.81
Vardo,1.0,US,1553750595.0,80.0,39.62,-77.74,4.0,2.46
Vanimo,64.0,PG,1553750698.0,100.0,-2.67,141.3,28.27,3.56
Gasa,0.0,BT,1553750794.0,81.0,27.91,89.73,-6.69,0.41
Sa Kaeo,36.0,TH,1553750795.0,63.0,13.8,102.09,33.02,3.56
North Bend,40.0,US,1553750718.0,76.0,43.41,-124.22,9.0,2.6
Port Hardy,5.0,CA,1553745600.0,86.0,50.7,-127.42,5.0,1.5
Puerto Escondido,0.0,MX,1553750795.0,99.0,15.86,-97.07,28.62,5.61
Yarkovo,0.0,RU,1553749200.0,74.0,54.81,82.6,1.0,2.0
Aasiaat,64.0,GL,1553750796.0,99.0,68.71,-52.87,-11.29,1.41
Marsh Harbour,0.0,BS,1553750506.0,100.0,26.54,-77.06,20.07,4.26
Swan River,36.0,CA,1553750796.0,78.0,52.11,-101.27,-1.34,3.51
Takaka,0.0,NZ,1553750650.0,61.0,-40.86,172.81,20.0,1.34
karkaralinsk,,,,,,,,
Linxia,0.0,CN,1553750797.0,22.0,35.6,103.21,10.92,3.11
Bethel,75.0,US,1553748960.0,80.0,60.79,-161.76,2.0,1.5
Guararapes,68.0,BR,1553750798.0,64.0,-21.25,-50.65,25.67,5.86
Eyl,0.0,SO,1553750798.0,90.0,7.98,49.82,27.12,2.71
Beringovskiy,0.0,RU,1553750674.0,86.0,63.05,179.32,-5.44,4.51
Auki,8.0,NG,1553750799.0,28.0,12.18,6.51,20.82,5.01
Tuatapere,0.0,NZ,1553750406.0,68.0,-46.13,167.69,16.11,2.66
Nouakchott,0.0,MR,1553747400.0,88.0,18.08,-15.98,17.0,4.1
Mocuba,92.0,MZ,1553750800.0,99.0,-16.84,36.99,23.42,3.41
Ponta do Sol,100.0,BR,1553750750.0,58.0,-20.63,-46.0,23.57,3.86
khonuu,,,,,,,,
Kamenka,0.0,RU,1553750800.0,91.0,53.19,44.05,-3.64,3.76
Brokopondo,0.0,SR,1553749200.0,94.0,5.06,-54.98,24.0,1.0
Koster,0.0,ZA,1553750801.0,76.0,-25.86,26.9,18.42,2.86
Henties Bay,64.0,NA,1553749332.0,93.0,-22.12,14.28,16.11,1.41
Santa Marinella,0.0,IT,1553750732.0,96.0,42.04,11.87,9.44,5.1
Inhambane,20.0,MZ,1553745600.0,94.0,-23.87,35.38,20.0,2.71
Kaseda,75.0,JP,1553749944.0,67.0,31.42,130.32,16.0,1.0
Macae,0.0,BR,1553749200.0,74.0,-22.37,-41.79,26.0,4.1
Lander,1.0,US,1553750270.0,32.0,42.83,-108.73,7.0,3.6
mys shmidta,,,,,,,,
Chojnow,75.0,PL,1553750795.0,93.0,51.27,15.94,7.22,4.1
Baherden,32.0,TM,1553750809.0,100.0,38.44,57.43,11.07,1.61
Vallenar,0.0,CL,1553750809.0,73.0,-28.58,-70.76,10.32,0.51
Rajapur,0.0,IN,1553750810.0,30.0,25.39,81.15,33.97,2.01
longlac,,,,,,,,
Jacareacanga,12.0,BR,1553750810.0,90.0,-6.22,-57.76,24.27,0.61
Esperance,20.0,TT,1553750707.0,88.0,10.24,-61.45,24.0,1.5
bengkulu,,,,,,,,
safaga,,,,,,,,
Mackay,90.0,CA,1553749200.0,86.0,53.65,-115.58,-1.0,1.0
lago da pedra,,,,,,,,
San Juan,1.0,PR,1553750736.0,78.0,18.47,-66.12,25.0,1.5
Ivanivka,0.0,UA,1553749200.0,77.0,46.98,30.46,0.0,2.0
Yumen,76.0,CN,1553750814.0,46.0,40.29,97.04,8.62,1.86
Baghdad,0.0,IQ,1553749200.0,71.0,33.3,44.38,14.0,3.6
Freeport,36.0,BS,1553750785.0,100.0,26.54,-78.7,19.82,2.86
karaul,,,,,,,,
Hobyo,0.0,SO,1553750814.0,74.0,5.35,48.53,29.02,4.66
Bismil,75.0,TR,1553748600.0,100.0,37.85,40.66,9.0,1.0
San Luis,68.0,AR,1553750815.0,61.0,-33.3,-66.34,18.07,5.46
Ijuin,75.0,JP,1553749944.0,67.0,31.62,130.4,16.0,1.0
Dickinson,90.0,US,1553750721.0,74.0,46.88,-102.79,2.78,3.1
Meulaboh,32.0,ID,1553750816.0,100.0,4.14,96.13,28.47,2.96
Touros,40.0,BR,1553745600.0,100.0,-5.2,-35.46,24.0,1.5
Merauke,36.0,ID,1553750817.0,86.0,-8.49,140.4,30.07,5.06
Savannah Bight,92.0,HN,1553750817.0,95.0,16.45,-85.85,26.72,5.21
Suez,0.0,EG,1553750817.0,62.0,29.97,32.54,13.67,1.31
Namibe,12.0,AO,1553750817.0,98.0,-15.19,12.15,25.57,2.81
Gejiu,32.0,CN,1553750818.0,57.0,23.36,103.16,22.57,1.66
Guerrero Negro,76.0,MX,1553750818.0,99.0,27.97,-114.04,13.02,3.46
Portland,20.0,US,1553750714.0,93.0,45.52,-122.67,7.22,2.1
Grand Gaube,75.0,MU,1553750646.0,74.0,-20.01,57.66,29.0,5.7
Vila,0.0,IT,1553750783.0,74.0,45.18,8.4,8.33,2.6
Oranjemund,88.0,ZA,1553750819.0,100.0,-28.55,16.43,13.82,4.31
Goderich,44.0,CA,1553750639.0,63.0,43.74,-81.71,6.11,4.92
Galdar,20.0,ES,1553750733.0,77.0,28.15,-15.65,15.56,2.6
Butaritari,88.0,KI,1553750820.0,99.0,3.07,172.79,29.17,8.61
Villa Bruzual,0.0,VE,1553750820.0,76.0,9.33,-69.12,22.92,2.71
Estevan,75.0,CA,1553750571.0,77.0,49.14,-102.99,3.0,2.6
Qiongshan,20.0,CN,1553745600.0,55.0,20.01,110.35,32.0,3.0
Ananindeua,0.0,BR,1553749200.0,94.0,-1.37,-48.4,25.0,2.1
hvolsvollur,,,,,,,,
Teodoro Sampaio,0.0,BR,1553750821.0,67.0,-22.53,-52.17,23.62,7.46
Dustlik,68.0,UZ,1553750822.0,100.0,40.53,68.03,15.77,2.96
Marystown,0.0,CA,1553750160.0,100.0,47.17,-55.16,-7.22,1.81
kerki,,,,,,,,
Fereydunshahr,20.0,IR,1553750822.0,75.0,32.94,50.12,3.67,1.16
